time,temperature,humidity,vbat_mV
00:00:06,27.25,61.02,4073
00:00:37,27.22,60.91,4072
00:01:08,27.17,60.80,4073
00:01:39,27.17,61.08,4073
00:02:10,27.13,61.02,4072
00:02:40,27.15,61.28,4073
00:03:11,27.17,61.34,4073
00:03:42,27.15,61.43,4073
00:04:13,27.14,61.44,4073
00:04:44,27.15,61.52,4073
00:05:14,27.16,61.75,4072
00:05:45,27.16,62.15,4072
00:06:16,27.16,62.81,4073
00:06:47,27.18,63.19,4072
00:07:18,27.20,63.61,4073
00:07:49,27.20,63.98,4073
00:08:19,27.24,64.42,4073
00:08:50,27.24,64.95,4072
00:09:21,27.25,65.49,4073
00:09:52,27.26,65.60,4072
00:10:23,27.27,65.85,4072
00:10:54,27.29,66.12,4073
00:11:25,27.31,66.63,4073
00:11:56,27.32,67.16,4072
00:12:26,27.34,67.33,4072
00:12:57,27.36,67.41,4072
00:13:28,27.37,67.90,4072
00:13:59,27.39,68.58,4073
00:14:30,27.40,68.44,4072
00:15:01,27.41,68.56,4073
00:15:32,27.42,68.87,4073
00:16:03,27.45,69.29,4073
00:16:34,27.44,69.41,4073
00:17:05,27.46,69.56,4072
00:17:36,27.47,69.89,4072
00:18:07,27.49,70.13,4072
00:18:38,27.52,70.26,4073
00:19:08,27.55,70.68,4072
00:19:39,27.54,70.93,4072
00:20:10,27.54,70.90,4073
00:20:41,27.56,71.15,4072
00:21:12,27.58,71.38,4072
00:21:43,27.58,71.49,4072
00:22:14,27.59,71.34,4073
00:22:45,27.61,71.61,4072
00:23:16,27.63,71.87,4072
00:23:47,27.65,72.15,4073
00:24:18,27.67,72.33,4073
00:24:49,27.66,72.37,4072
00:25:19,27.67,72.47,4072
00:25:50,27.68,72.55,4072
00:26:21,27.70,72.88,4073
00:26:52,27.69,72.77,4073
00:27:23,27.70,73.13,4073
00:27:54,27.72,73.34,4073
00:28:25,27.72,73.24,4073
00:28:56,27.76,73.39,4073
00:29:27,27.76,73.40,4073
00:29:58,27.75,73.46,4072
00:30:29,27.76,73.97,4072
00:31:00,27.77,73.95,4072
00:31:31,27.79,73.87,4073
00:32:01,27.78,74.03,4072
00:32:32,27.79,74.05,4073
00:33:03,27.81,74.20,4072
00:33:34,27.85,74.20,4072
00:34:05,27.84,74.45,4073
00:34:36,27.85,74.66,4072
00:35:07,27.87,74.70,4072
00:35:38,27.88,74.63,4072
00:36:09,27.87,74.77,4072
00:36:40,27.89,74.95,4073
00:37:11,27.91,75.09,4073
00:37:42,27.91,75.00,4073
00:38:12,27.94,75.09,4072
00:38:43,27.94,75.16,4072
00:39:14,27.93,75.17,4073
00:39:45,27.93,75.24,4073
00:40:16,27.95,75.30,4072
00:40:47,27.96,75.18,4072
00:41:18,27.97,75.18,4072
00:41:49,28.01,75.26,4073
00:42:20,27.99,75.38,4072
00:42:51,28.01,75.44,4072
00:43:22,28.01,75.27,4072
00:43:52,28.03,75.30,4073
00:44:23,28.01,75.27,4072
00:44:54,28.03,75.35,4073
00:45:25,28.07,75.50,4073
00:45:56,28.05,75.43,4072
00:46:27,28.07,75.63,4072
00:46:58,28.09,75.69,4073
00:47:29,28.10,75.51,4073
00:48:00,28.11,75.68,4072
00:48:31,28.13,75.74,4072
00:49:02,28.13,75.86,4072
00:49:33,28.14,75.79,4072
00:50:04,28.13,75.80,4073
00:50:35,28.16,75.95,4072
00:51:06,28.16,75.84,4072
00:51:36,28.18,75.75,4073
00:52:07,28.17,75.69,4073
00:52:38,28.17,75.46,4072
00:53:09,28.19,75.18,4072
00:53:40,28.19,74.98,4073
00:54:11,28.17,74.70,4072
00:54:42,28.18,74.42,4072
00:55:13,28.16,74.13,4072
00:55:44,28.16,73.93,4073
00:56:15,28.13,73.51,4072
00:56:46,28.12,73.23,4072
00:57:17,28.16,72.85,4072
00:57:48,28.12,72.77,4073
00:58:19,28.13,72.54,4072
00:58:49,28.12,72.19,4073
00:59:20,28.12,71.97,4073
00:59:51,28.10,71.74,4072
01:00:22,28.08,71.34,4073
01:00:53,28.07,71.16,4072
01:01:24,28.05,70.91,4073
01:01:55,28.05,70.66,4073
