time,temperature,humidity,vbat_mV
00:00:16,27.60,61.95,4100
00:00:47,27.63,61.97,4097
00:01:18,27.60,62.08,4097
00:01:49,27.63,62.15,4093
00:02:20,27.58,62.15,4104
00:02:50,27.58,62.49,4100
00:03:21,27.61,62.56,4092
00:03:52,27.61,62.55,4108
00:04:23,27.58,62.53,4096
00:04:53,27.61,62.56,4097
00:05:24,27.60,62.54,4096
00:05:55,27.59,62.52,4093
00:06:26,27.61,62.50,4100
00:06:57,27.58,62.44,4096
00:07:27,27.57,62.45,4092
00:07:58,27.59,62.37,4104
00:08:29,27.58,62.33,4093
00:09:00,27.57,62.23,4092
00:09:31,27.56,61.90,4096
00:10:02,27.56,61.30,4096
00:10:32,27.54,59.84,4096
00:11:03,27.53,59.27,4100
00:11:34,27.50,59.28,4100
00:12:05,27.48,59.64,4097
00:12:36,27.48,59.89,4096
00:13:07,27.48,60.81,4093
00:13:38,27.46,61.61,4100
00:14:08,27.47,62.19,4092
00:14:39,27.47,62.69,4104
00:15:10,27.48,63.21,4092
00:15:41,27.47,63.70,4093
00:16:12,27.50,63.88,4093
00:16:43,27.48,64.74,4097
00:17:14,27.47,65.16,4092
00:17:44,27.49,65.32,4100
00:18:15,27.49,65.44,4100
00:18:46,27.48,65.91,4093
00:19:17,27.52,66.20,4096
00:19:48,27.50,66.38,4096
00:20:19,27.53,67.03,4092
00:20:50,27.54,67.51,4100
00:21:21,27.54,67.65,4093
00:21:51,27.54,68.17,4100
00:22:22,27.55,68.40,4096
00:22:53,27.55,68.71,4092
00:23:24,27.56,68.34,4096
00:23:55,27.56,68.89,4097
00:24:26,27.57,68.99,4100
00:24:57,27.60,69.71,4097
00:25:27,27.60,70.20,4093
00:25:58,27.60,70.21,4100
00:26:29,27.62,70.56,4104
00:27:00,27.62,70.36,4092
00:27:31,27.63,70.80,4104
00:28:02,27.64,71.13,4097
00:28:33,27.65,71.00,4096
00:29:03,27.63,70.75,4096
00:29:34,27.64,70.54,4096
00:30:05,27.64,70.35,4093
00:30:36,27.62,70.05,4100
00:31:07,27.63,69.81,4096
00:31:38,27.64,69.53,4108
00:32:09,27.62,69.32,4097
00:32:40,27.63,69.21,4104
00:33:10,27.62,69.02,4093
00:33:41,27.61,69.10,4100
00:34:12,27.62,68.84,4100
00:34:43,27.60,68.95,4096
00:35:14,27.59,68.87,4096
00:35:45,27.60,68.81,4100
00:36:16,27.61,68.65,4093
00:36:47,27.58,68.47,4096
00:37:17,27.58,68.32,4092
00:37:48,27.56,68.09,4100
00:38:19,27.57,68.04,4096
00:38:50,27.55,67.88,4093
00:39:21,27.53,67.77,4096
00:39:52,27.53,67.66,4097
00:40:23,27.52,67.45,4093
00:40:54,27.52,67.29,4104
00:41:24,27.50,67.16,4097
00:41:55,27.49,67.04,4096
00:42:26,27.48,66.92,4092
00:42:57,27.47,66.83,4100
00:43:28,27.49,66.79,4092
00:43:59,27.47,66.69,4104
00:44:29,27.45,66.55,4104
00:45:00,27.47,66.49,4096
00:45:31,27.47,66.29,4096
00:46:02,27.47,66.26,4092
00:46:33,27.44,66.16,4096
00:47:04,27.45,66.10,4104
00:47:35,27.47,65.95,4097
00:48:06,27.41,65.89,4096
00:48:37,27.42,65.83,4096
00:49:07,27.42,65.71,4104
00:49:38,27.42,65.68,4092
00:50:09,27.39,65.60,4093
00:50:40,27.41,65.50,4096
00:51:11,27.38,65.41,4092
00:51:42,27.37,65.33,4093
00:52:13,27.35,65.30,4100
00:52:43,27.34,65.30,4100
00:53:14,27.35,65.27,4096
00:53:45,27.34,65.19,4093
00:54:16,27.35,65.23,4096
00:54:47,27.33,65.15,4108
00:55:18,27.32,65.11,4092
00:55:49,27.31,65.10,4100
00:56:20,27.32,65.11,4104
00:56:51,27.32,65.08,4092
00:57:21,27.31,65.04,4100
00:57:52,27.28,65.04,4093
00:58:23,27.31,64.46,4092
00:58:54,27.29,63.50,4097
00:59:25,27.29,62.77,4100
00:59:56,27.25,62.19,4097
01:00:27,27.25,62.10,4100
01:00:58,27.22,62.19,4096
01:01:28,27.22,62.35,4092
01:01:59,27.20,62.53,4092
01:02:30,27.18,62.67,4092
01:03:01,27.15,62.84,4097
01:03:32,27.15,63.01,4100
01:04:03,27.17,63.10,4093
01:04:34,27.15,63.17,4092
01:05:05,27.14,63.23,4097
01:05:36,27.14,63.29,4093
01:06:06,27.13,63.31,4092
01:06:37,27.13,63.35,4097
01:07:08,27.12,63.42,4096
01:07:39,27.10,63.46,4096
01:08:10,27.11,63.60,4092
01:08:41,27.11,63.63,4092
01:09:12,27.13,63.67,4092
01:09:43,27.11,63.69,4092
01:10:13,27.13,63.71,4097
01:10:44,27.10,63.69,4092
01:11:15,27.10,63.69,4092
01:11:46,27.11,63.71,4096
01:12:17,27.11,63.69,4093
01:12:48,27.11,63.76,4096
01:13:19,27.11,63.77,4093
01:13:50,27.11,63.79,4093
01:14:21,27.09,63.80,4096
01:14:51,27.09,63.80,4092
01:15:22,27.09,63.83,4096
01:15:53,27.08,63.80,4093
01:16:24,27.08,63.79,4100
01:16:55,27.09,63.83,4093
01:17:26,27.09,63.81,4097
01:17:57,27.09,63.82,4092
01:18:28,27.06,63.82,4092
01:18:58,27.07,63.83,4092
01:19:29,27.07,63.86,4096
01:20:00,27.05,63.86,4100
01:20:31,27.05,63.83,4093
01:21:02,27.05,63.80,4092
01:21:33,27.02,63.81,4092
01:22:04,27.03,63.81,4093
01:22:34,27.01,63.82,4100
01:23:05,27.01,63.79,4092
01:23:36,27.02,63.76,4100
01:24:07,27.01,63.84,4096
01:24:38,27.02,63.86,4092
01:25:09,27.01,63.91,4093
01:25:39,26.99,63.87,4092
01:26:10,26.98,63.87,4092
01:26:41,27.00,63.90,4093
01:27:12,27.00,63.95,4093
01:27:43,26.99,63.96,4092
01:28:14,26.97,63.94,4092
01:28:45,26.98,63.93,4096
01:29:16,26.97,63.95,4092
01:29:47,26.98,63.95,4092
01:30:17,26.97,63.87,4092
01:30:48,26.98,63.24,4092
01:31:19,26.97,62.34,4092
01:31:50,26.95,61.65,4092
01:32:21,26.94,61.31,4096
01:32:52,26.93,61.45,4092
01:33:22,26.90,61.58,4092
01:33:53,26.88,61.68,4092
01:34:24,26.87,61.98,4092
01:34:55,26.87,62.12,4092
01:35:26,26.85,62.26,4092
01:35:57,26.85,62.41,4096
01:36:28,26.85,62.51,4096
01:36:59,26.82,62.59,4093
01:37:30,26.85,62.66,4092
01:38:00,26.85,62.70,4092
01:38:31,26.83,62.72,4093
01:39:02,26.85,62.74,4096
01:39:33,26.83,62.80,4093
01:40:04,26.85,62.83,4093
01:40:35,26.83,62.84,4092
01:41:06,26.84,62.84,4092
01:41:36,26.84,62.88,4093
01:42:07,26.85,62.92,4092
01:42:38,26.83,62.92,4093
01:43:09,26.83,62.96,4100
01:43:40,26.84,63.01,4092
01:44:11,26.82,63.02,4092
01:44:42,26.83,63.02,4092
01:45:13,26.82,63.01,4092
01:45:44,26.83,63.06,4093
01:46:14,26.83,63.01,4092
01:46:45,26.83,63.02,4092
01:47:16,26.81,62.99,4093
01:47:47,26.83,62.99,4096
01:48:18,26.81,63.02,4096
01:48:49,26.82,63.06,4096
01:49:19,26.80,63.03,4092
01:49:50,26.81,63.04,4093
01:50:21,26.79,63.08,4092
01:50:52,26.78,63.09,4096
01:51:23,26.78,63.07,4093
01:51:54,26.79,63.07,4096
01:52:25,26.81,63.04,4093
01:52:56,26.80,63.05,4093
01:53:26,26.78,63.04,4093
01:53:57,26.78,63.05,4093
01:54:28,26.79,63.02,4093
01:54:59,26.78,63.03,4092
01:55:30,26.76,63.06,4093
01:56:01,26.78,63.12,4092
01:56:32,26.78,63.15,4092
01:57:02,26.78,63.15,4093
01:57:33,26.77,63.19,4092
01:58:04,26.79,63.19,4093
01:58:35,26.78,63.23,4092
01:59:06,26.79,63.28,4092
01:59:37,26.78,63.34,4092
02:00:08,26.79,63.35,4093
02:00:38,26.76,63.38,4092
02:01:09,26.79,63.46,4093
02:01:40,26.78,63.45,4093
02:02:11,26.78,63.36,4093
02:02:42,26.76,62.80,4092
02:03:13,26.74,61.96,4092
02:03:44,26.71,61.14,4092
02:04:15,26.71,60.84,4093
02:04:45,26.73,60.84,4092
02:05:16,26.69,60.94,4092
02:05:47,26.68,61.20,4092
02:06:18,26.70,61.22,4092
02:06:49,26.65,61.34,4092
02:07:20,26.69,61.49,4092
02:07:51,26.64,61.62,4092
02:08:22,26.64,61.66,4092
02:08:52,26.66,61.78,4093
02:09:23,26.66,61.84,4092
02:09:54,26.62,61.92,4100
02:10:25,26.65,61.93,4096
02:10:56,26.63,62.04,4092
02:11:27,26.65,62.15,4096
02:11:58,26.65,62.25,4092
02:12:29,26.64,62.31,4092
02:12:59,26.65,62.38,4092
02:13:30,26.63,62.43,4092
02:14:01,26.64,62.50,4097
02:14:32,26.65,62.54,4092
02:15:03,26.66,62.64,4093
02:15:34,26.64,62.74,4092
02:16:05,26.63,62.76,4092
02:16:36,26.64,62.79,4093
02:17:07,26.63,62.81,4092
02:17:37,26.65,62.81,4092
02:18:08,26.65,62.85,4093
02:18:39,26.65,62.86,4093
02:19:10,26.66,62.88,4092
02:19:41,26.65,62.87,4092
02:20:12,26.63,62.82,4093
02:20:43,26.66,62.85,4092
02:21:13,26.63,62.85,4092
02:21:44,26.64,62.86,4092
02:22:15,26.64,62.90,4092
02:22:46,26.64,62.93,4092
02:23:17,26.65,62.99,4093
02:23:48,26.64,63.03,4092
02:24:19,26.65,63.05,4092
02:24:50,26.66,63.08,4096
02:25:21,26.61,63.07,4093
02:25:51,26.62,63.11,4092
02:26:22,26.63,63.15,4092
02:26:53,26.65,63.16,4097
02:27:24,26.65,63.20,4096
02:27:55,26.63,63.23,4097
02:28:26,26.62,63.27,4092
02:28:57,26.64,63.23,4092
02:29:28,26.64,63.32,4092
02:29:58,26.64,63.47,4096
02:30:29,26.66,63.43,4096
02:31:00,26.63,63.44,4093
02:31:31,26.66,63.45,4092
02:32:02,26.62,63.47,4093
02:32:33,26.66,63.53,4092
02:33:04,26.64,63.50,4093
02:33:35,26.63,63.48,4096
02:34:06,26.61,63.48,4096
02:34:36,26.65,63.13,4092
02:35:07,26.62,62.07,4092
02:35:38,26.62,61.30,4092
02:36:09,26.60,60.82,4092
02:36:40,26.56,60.98,4096
02:37:11,26.55,61.02,4093
02:37:42,26.56,61.35,4096
02:38:13,26.52,61.54,4093
02:38:43,26.52,61.67,4096
02:39:14,26.53,61.85,4097
02:39:45,26.51,62.00,4092
02:40:16,26.50,62.14,4092
02:40:47,26.51,62.20,4092
02:41:18,26.48,62.31,4093
02:41:49,26.51,62.42,4092
02:42:19,26.50,62.55,4092
02:42:50,26.52,62.63,4092
02:43:21,26.48,62.78,4092
02:43:52,26.51,62.87,4092
02:44:23,26.49,62.90,4092
