time,temperature,humidity,vbat_mV
00:03:38,26.99,59.90,3270
00:11:08,26.76,59.62,3297
00:18:39,26.92,59.61,3322
00:26:09,26.94,59.75,3302
00:33:39,26.98,59.76,3296
00:41:10,26.55,57.91,3289
00:48:40,26.87,58.57,3295
00:56:11,26.87,59.06,3276
01:03:41,26.88,59.36,3288
01:11:11,26.77,57.97,3296
01:18:42,26.93,62.76,3282
01:26:13,27.19,68.18,3289
01:33:43,27.30,70.74,3295
01:41:14,27.42,72.15,3302
01:48:45,27.48,73.16,3290
01:56:15,27.52,74.62,3290
02:03:46,27.58,75.59,3288
02:11:16,27.60,76.49,3294
02:18:46,27.66,76.85,3291
02:26:17,27.68,77.11,3276
02:33:47,27.70,76.98,3281
02:41:18,27.72,77.28,3283
02:48:48,27.75,77.36,3290
02:56:19,27.77,77.67,3296
03:03:49,27.81,77.84,3290
03:11:19,27.82,77.74,3282
03:18:50,27.83,78.31,3296
03:26:20,27.85,78.42,3309
03:33:51,27.85,78.47,3281
03:41:21,27.87,78.62,3283
03:48:51,27.91,78.45,3289
03:56:21,27.89,78.53,3302
04:03:52,27.89,78.62,3295
04:11:22,27.89,78.17,3290
04:18:52,27.92,78.04,3282
04:26:22,27.93,77.83,3283
04:33:53,27.92,77.68,3277
04:41:24,27.96,77.79,3290
04:48:54,27.97,77.74,3283
04:56:25,27.94,77.83,3288
05:03:56,27.96,77.40,3289
05:11:26,27.97,77.86,3296
05:18:57,27.99,78.55,3295
05:26:27,27.96,78.42,3295
05:33:58,28.00,78.81,3289
05:41:28,27.99,79.63,3303
05:48:59,28.01,79.33,3275
05:56:30,28.01,79.34,3295
06:04:01,28.02,79.60,3295
06:11:31,28.01,79.74,3283
06:19:02,28.02,79.69,3302
06:26:33,27.99,79.36,3288
06:34:04,28.03,79.38,3283
06:41:34,28.02,79.36,3282
06:49:05,28.02,79.81,3297
06:56:35,28.04,79.43,3289
07:04:06,28.02,79.95,3290
07:11:36,28.03,79.81,3283
07:19:06,28.05,79.88,3296
07:26:37,28.02,79.52,3289
07:34:08,28.04,79.83,3296
07:41:39,28.05,80.02,3295
07:49:09,28.08,80.54,3307
07:56:40,28.05,80.32,3308
08:04:09,28.07,80.31,3296
08:11:39,28.06,80.30,3295
08:19:09,28.08,79.57,3290
08:26:40,28.08,79.71,3290
