time,temperature,humidity,vbat_mV
00:01:03,28.31,78.27,4128
00:11:04,28.40,78.18,4128
00:21:04,28.50,78.25,4128
00:31:04,28.54,78.37,4128
00:41:06,28.58,78.64,4128
00:51:06,27.85,64.70,4128
01:01:06,27.04,59.99,4128
01:11:07,26.83,63.97,4128
01:21:07,26.66,65.66,4120
01:31:08,26.56,65.82,4128
01:41:09,26.33,64.58,4124
01:51:10,26.24,65.15,4124
02:01:10,26.20,65.41,4128
02:11:10,25.96,64.24,4128
02:21:11,25.93,64.94,4128
02:31:11,25.91,65.09,4124
02:41:11,25.69,63.44,4120
02:51:11,25.70,64.69,4124
03:01:13,25.68,64.62,4124
03:11:13,25.52,61.59,4124
03:21:13,25.48,63.67,4124
03:31:14,25.48,63.93,4128
03:41:15,25.44,63.63,4124
03:51:16,25.30,63.23,4128
04:01:16,25.31,63.67,4124
04:11:16,25.62,66.59,4112
04:21:17,25.94,68.25,4128
04:31:17,26.19,68.86,4124
04:41:18,26.34,69.50,4120
04:51:19,26.53,70.41,4124
05:01:20,26.68,71.20,4120
05:11:21,26.78,71.68,4128
05:21:21,26.91,72.28,4124
05:31:22,26.98,72.49,4124
05:41:23,27.06,72.85,4128
05:51:23,27.14,73.18,4128
06:01:23,27.16,73.55,4124
06:11:24,27.24,73.96,4128
06:21:25,27.28,74.06,4128
06:31:25,27.36,74.22,4128
06:41:25,27.41,74.67,4128
06:51:26,27.47,74.70,4124
07:01:26,27.52,74.72,4124
07:11:27,27.58,74.92,4124
07:21:29,27.65,75.25,4124
07:31:29,27.78,77.76,4128
07:41:30,27.89,79.00,4128
07:51:30,27.94,80.54,4128
