time,temperature,humidity,vbat_mV
00:06:38,27.24,62.63,3880
00:14:09,27.15,62.49,3881
00:21:40,27.03,60.50,3880
00:29:10,27.17,60.98,3880
00:36:40,27.14,62.23,3880
00:44:10,27.10,62.90,3880
00:51:41,26.86,60.35,3881
00:59:12,26.84,61.54,3880
01:06:42,26.86,61.84,3881
01:14:13,26.83,62.22,3882
01:21:44,26.78,61.40,3880
01:29:14,26.64,62.49,3880
01:36:45,26.62,62.75,3882
01:44:16,26.58,62.58,3880
01:51:46,26.54,62.68,3880
01:59:17,26.30,61.30,3881
02:06:47,26.34,61.95,3880
02:14:18,26.38,62.51,3880
02:21:48,26.35,63.11,3882
02:29:19,26.13,61.68,3880
02:36:50,26.20,62.20,3881
02:44:21,26.18,62.48,3881
02:51:51,26.12,62.66,3880
02:59:22,25.95,60.04,3881
03:06:52,26.00,61.71,3880
03:14:23,26.02,61.98,3874
03:21:53,26.04,61.77,3881
03:29:24,25.98,61.32,3883
03:36:55,26.07,65.46,3880
03:44:25,26.35,69.86,3880
03:51:56,26.56,73.03,3880
03:59:27,26.76,75.09,3880
04:06:57,26.99,74.38,3880
04:14:27,27.17,74.52,3881
04:21:58,27.25,74.56,3881
04:29:28,27.36,74.33,3882
04:36:59,27.42,74.33,3880
04:44:30,27.50,74.21,3880
04:52:00,27.55,74.30,3881
04:59:31,27.61,74.28,3880
05:07:01,27.69,74.68,3881
05:14:32,27.71,74.81,3881
05:22:02,27.76,75.12,3879
05:29:33,27.78,75.42,3880
05:37:04,27.81,75.39,3880
05:44:34,27.85,75.84,3880
05:52:05,27.90,75.51,3880
05:59:36,27.92,75.67,3880
06:07:07,27.91,75.88,3881
06:14:37,27.96,75.89,3880
06:22:08,28.00,76.08,3880
06:29:39,27.98,76.29,3880
06:37:09,28.00,76.40,3880
06:44:41,28.02,76.64,3880
06:52:11,28.05,76.90,3881
06:59:42,28.10,76.85,3881
07:07:12,28.13,76.85,3880
07:14:42,28.13,76.73,3881
07:22:13,28.15,76.56,3880
07:29:44,28.18,76.99,3881
07:37:14,28.23,76.80,3881
07:44:45,28.30,76.59,3880
07:52:15,28.32,76.46,3881
07:59:45,28.46,76.36,3880
08:07:16,28.60,76.14,3881
08:14:46,28.76,75.86,3880
08:22:17,28.84,75.80,3880
08:29:47,28.95,75.68,3881
08:37:18,29.02,75.52,3881
08:44:49,29.17,75.44,3881
08:52:20,29.34,74.66,3881
08:59:51,29.34,74.49,3881
09:07:22,29.46,74.51,3880
09:14:52,29.53,74.33,3880
09:22:22,29.70,73.81,3880
09:29:52,29.80,74.29,3880
09:37:23,29.99,74.34,3880
09:44:54,30.10,74.53,3880
09:52:24,29.28,64.84,3880
09:59:55,28.66,60.84,3880
10:07:25,28.50,59.16,3879
10:14:56,28.23,58.57,3881
10:22:27,28.73,61.65,3880
10:29:57,28.70,62.72,3880
10:37:27,28.67,62.95,3880
10:44:58,28.73,61.82,3880
10:52:29,28.60,61.74,3880
11:00:00,28.71,62.17,3880
11:07:30,28.77,63.12,3881
11:15:01,28.85,64.26,3880
11:22:32,28.78,63.76,3880
11:30:03,28.78,65.03,3880
11:37:34,28.15,65.90,3812
11:45:04,28.80,66.51,3818
11:52:35,29.78,66.76,3805
12:00:05,30.05,67.12,3817
12:07:36,30.10,67.92,3818
12:15:07,30.18,68.76,3806
12:22:38,30.23,69.17,3812
12:30:08,30.32,69.54,3819
12:37:39,30.39,69.53,3806
12:45:09,30.48,69.77,3812
12:52:40,30.54,70.09,3819
13:00:10,30.67,70.44,3830
13:07:40,30.75,70.68,3824
13:15:11,30.85,70.12,3812
13:22:42,30.82,70.41,3825
13:30:13,31.03,71.45,3824
13:37:43,31.05,71.79,3812
13:45:14,31.11,70.98,3818
13:52:45,31.12,71.22,3812
14:00:16,31.79,69.85,3836
14:07:46,31.83,68.96,3818
14:15:17,31.87,68.92,3837
14:22:47,31.92,68.52,3819
