time,temperature,humidity,vbat_mV
07:40:20,28.44,77.06,3290
07:47:50,28.50,77.52,3308
07:55:20,28.56,77.54,3303
08:02:51,28.63,77.50,3296
08:10:21,28.69,77.73,3322
08:17:52,28.79,77.80,3304
08:25:23,28.89,77.65,3322
08:32:53,28.95,77.49,3323
08:40:24,28.98,77.32,3296
08:47:54,29.06,77.04,3302
08:55:24,29.14,77.41,3303
09:02:55,29.21,77.12,3284
09:10:25,29.29,76.78,3277
09:17:56,29.36,77.07,3304
09:25:26,29.48,77.34,3284
09:32:57,28.62,69.27,3309
09:40:27,27.37,63.11,3310
09:47:58,27.46,65.22,3295
09:55:28,27.55,66.32,3295
10:02:58,27.66,66.98,3303
10:10:29,27.84,69.10,3302
10:17:59,28.35,69.70,3303
14:18:29,30.96,71.73,3310
14:25:59,31.01,71.80,3316
14:33:29,31.10,71.83,3310
14:41:00,31.12,71.85,3323
14:48:31,31.09,72.13,3329
14:56:01,29.02,63.17,3316
15:03:31,28.57,60.66,3296
15:11:02,28.26,58.96,3295
15:18:32,28.47,62.00,3290
15:26:02,28.67,62.98,3310
15:33:33,28.44,61.18,3303
15:41:04,28.17,60.42,3284
15:48:34,28.36,62.09,3314
15:56:04,28.43,62.32,3303
16:03:35,28.46,62.80,3290
16:11:06,28.03,60.54,3297
16:18:37,28.17,62.55,3283
16:26:08,28.25,63.07,3322
16:33:39,28.28,63.38,3316
16:41:10,28.25,63.02,3309
16:48:40,28.00,62.76,3303
16:56:10,28.11,62.93,3296
17:03:41,28.11,63.49,3270
17:11:11,27.95,63.87,3296
17:18:42,27.54,62.70,3315
17:26:13,27.74,63.35,3309
17:33:43,27.80,63.69,3316
17:41:13,27.77,63.77,3309
17:48:44,27.38,61.87,3303
17:56:14,27.55,62.41,3309
18:03:45,27.54,63.30,3296
18:11:15,27.55,63.12,3309
18:18:45,27.26,60.97,3296
18:26:16,27.39,63.43,3289
18:33:46,27.34,63.38,3302
18:41:17,27.38,63.92,3303
18:48:47,27.34,63.64,3284
18:56:17,27.15,62.45,3303
19:03:48,27.23,62.50,3295
19:11:18,27.23,62.70,3302
19:18:48,27.26,64.14,3296
19:26:20,26.87,62.45,3276
19:33:50,27.09,62.73,3304
19:41:20,27.07,62.92,3309
19:48:50,27.06,62.75,3295
19:56:21,26.69,60.85,3303
20:03:51,26.89,62.56,3290
20:11:21,26.98,62.93,3316
20:18:52,26.93,62.50,3283
20:26:22,26.67,59.34,3303
20:33:52,26.70,62.42,3290
20:41:23,26.74,62.15,3302
20:48:53,26.79,63.31,3316
20:56:24,27.38,63.56,3305
21:03:54,27.64,64.28,3283
21:11:25,27.83,64.80,3284
21:18:56,27.97,65.66,3290
21:26:27,28.07,65.95,3303
21:33:57,28.17,66.34,3311
21:41:27,28.25,66.66,3315
21:48:58,28.30,67.29,3316
21:56:29,28.40,67.56,3303
22:03:59,28.43,67.59,3295
22:11:29,28.49,67.97,3311
22:18:59,28.54,68.28,3297
22:26:29,28.59,68.54,3323
22:34:00,28.66,69.54,3303
22:41:31,28.72,70.44,3309
22:49:01,28.73,70.38,3309
22:56:32,28.77,71.11,3323
23:04:03,28.81,71.45,3311
23:11:34,28.83,71.45,3316
23:20:29,26.94,62.72,3304
23:27:59,26.91,63.47,3288
23:35:30,27.02,64.36,3296
23:43:01,26.98,64.50,3301
23:50:32,26.91,64.47,3301
23:58:02,26.60,63.63,3303
