time,temperature,humidity,vbat_mV
13:56:55,30.13,77.25,2125
13:57:01,30.14,77.36,2040
14:01:16,30.19,76.33,2557
14:48:23,30.75,74.06,16170
14:48:31,30.75,74.05,16170
14:49:32,30.77,74.05,16170
14:50:33,30.79,74.11,16120
14:51:33,30.80,74.13,16164
14:52:34,30.80,74.06,16170
14:53:34,30.80,74.00,16170
14:54:35,30.81,74.04,16147
14:55:35,30.84,74.00,16146
14:56:36,30.83,73.80,16164
14:57:36,30.85,73.77,16164
14:58:37,30.85,74.36,16165
14:59:37,30.85,73.89,16137
15:00:08,30.87,73.77,16309
15:00:12,30.86,73.76,16296
15:01:13,30.87,73.87,0
15:02:13,30.90,74.38,0
15:03:14,30.91,74.06,0
15:03:39,30.91,73.79,3250
15:03:41,30.93,73.77,3255
15:04:00,30.93,73.83,0
15:04:13,30.94,73.72,3256
15:05:47,30.94,73.72,3236
15:06:47,30.93,74.08,3238
15:07:48,30.95,73.79,3249
15:08:48,30.94,73.80,3230
15:09:49,30.94,74.36,3257
15:10:59,30.95,73.92,3317
15:11:02,30.96,73.93,3323
15:12:02,30.98,73.83,3321
15:12:32,31.01,73.92,3478
15:12:37,31.01,73.89,3485
15:12:42,31.02,73.86,3645
15:12:46,31.03,73.79,3724
15:12:49,31.05,73.78,3881
15:12:52,31.03,73.76,3961
15:12:56,31.04,73.78,4040
15:13:02,31.03,73.72,4121
15:13:07,31.07,73.70,4271
15:13:52,31.10,73.32,3330
15:14:53,31.12,73.45,3310
15:15:54,31.12,73.39,3328
15:16:54,31.12,73.48,3316
15:17:55,31.12,73.43,3329
15:18:55,31.12,73.38,3323
15:19:56,31.13,73.61,3310
15:20:56,31.08,71.15,3323
15:21:57,30.95,69.35,3315
15:22:58,30.75,67.05,3317
15:23:58,30.53,64.40,3317
15:24:59,30.36,63.15,3323
15:25:59,30.16,61.16,3317
15:27:00,29.90,59.32,3328
15:28:01,29.75,58.07,3330
15:29:01,29.62,57.53,3303
15:30:02,29.54,55.93,3331
15:31:02,29.36,55.29,3316
15:32:03,29.21,54.32,3302
15:33:03,29.12,53.51,3322
