time,temperature,humidity,vbat_mV
00:00:28,28.65,77.10,4088
00:00:58,28.65,77.08,4088
00:01:29,28.66,77.20,4089
00:02:00,28.66,77.30,4088
00:02:31,28.66,77.25,4089
00:03:02,28.69,77.16,4088
00:03:32,28.69,77.28,4084
00:04:03,28.71,77.12,4088
00:04:34,28.70,77.25,4085
00:05:05,28.72,77.19,4088
00:05:36,28.71,77.19,4088
00:06:06,28.72,76.96,4089
00:06:37,28.69,76.58,4089
00:07:08,28.67,76.15,4088
00:07:39,28.64,75.84,4089
00:08:10,28.59,75.64,4089
00:08:40,28.53,75.45,4089
00:09:11,28.51,75.22,4088
00:09:42,28.43,74.92,4088
00:10:13,28.38,74.80,4088
00:10:44,28.34,74.40,4089
00:11:15,28.31,74.31,4088
00:11:46,28.26,74.14,4088
00:12:17,28.22,73.76,4089
00:12:47,28.19,73.53,4089
00:13:18,28.16,73.47,4089
00:13:49,28.11,73.13,4088
00:14:20,28.08,72.90,4084
00:14:51,28.03,72.70,4088
00:15:22,27.99,72.87,4088
00:15:53,27.96,72.92,4088
00:16:24,27.97,72.85,4088
00:16:55,27.94,72.64,4088
00:17:25,27.94,72.60,4085
00:17:56,27.94,72.27,4088
00:18:27,27.94,72.08,4088
00:18:58,27.93,71.83,4089
00:19:29,27.92,71.78,4085
00:20:00,27.91,71.59,4085
00:20:31,27.91,71.42,4088
00:21:02,27.87,71.31,4088
00:21:33,27.88,71.04,4089
00:22:03,27.88,70.88,4088
00:22:34,27.86,70.74,4089
00:23:05,27.83,70.50,4084
00:23:36,27.81,70.64,4089
00:24:07,27.80,70.56,4089
00:24:38,27.79,70.29,4088
00:25:09,27.78,69.90,4088
00:25:40,27.78,69.94,4089
00:26:11,27.74,69.91,4089
00:26:41,27.74,69.73,4088
00:27:12,27.73,69.56,4088
00:27:43,27.72,69.42,4089
00:28:14,27.68,69.27,4088
00:28:45,27.68,69.27,4088
00:29:16,27.68,69.35,4088
00:29:47,27.68,69.10,4081
00:30:18,27.66,68.84,4085
00:30:49,27.64,68.88,4088
00:31:19,27.66,68.88,4085
00:31:50,27.66,68.65,4088
00:32:21,27.66,68.58,4088
00:32:52,27.67,68.46,4085
00:33:23,27.65,68.16,4089
00:33:54,27.65,68.12,4088
00:34:25,27.64,68.00,4088
00:34:56,27.63,68.08,4089
00:35:27,27.60,67.87,4088
00:35:58,27.62,67.25,4081
00:36:28,27.58,66.14,4088
00:36:59,27.55,65.39,4089
00:37:30,27.50,65.15,4077
00:38:01,27.44,64.96,4085
00:38:32,27.41,65.10,4084
00:39:03,27.39,65.24,4088
00:39:34,27.38,65.38,4088
00:40:05,27.36,65.46,4084
00:40:36,27.37,65.58,4089
00:41:07,27.35,65.62,4089
00:41:38,27.37,65.67,4085
00:42:08,27.35,65.64,4085
00:42:39,27.38,65.55,4084
00:43:10,27.34,66.52,4089
00:43:41,27.34,66.77,4088
00:44:12,27.34,66.70,4089
00:44:43,27.36,66.55,4084
00:45:14,27.38,66.51,4085
00:45:45,27.38,66.28,4088
00:46:16,27.38,66.35,4085
00:46:47,27.36,66.32,4085
00:47:17,27.37,66.34,4088
00:47:48,27.36,66.27,4088
00:48:19,27.35,66.24,4084
00:48:50,27.34,66.06,4088
00:49:21,27.31,66.02,4084
00:49:52,27.32,66.02,4084
00:50:23,27.32,66.11,4085
00:50:54,27.34,66.04,4077
00:51:25,27.32,66.00,4081
00:51:56,27.32,65.91,4088
00:52:27,27.30,65.95,4084
00:52:57,27.32,65.90,4084
00:53:28,27.34,65.88,4084
00:53:59,27.35,65.82,4085
00:54:30,27.36,65.56,4081
00:55:01,27.36,65.54,4084
00:55:32,27.34,65.51,4088
00:56:03,27.32,65.44,4088
00:56:34,27.34,65.47,4084
00:57:05,27.31,65.47,4085
00:57:36,27.31,65.44,4088
00:58:07,27.31,65.21,4085
00:58:37,27.32,65.18,4088
00:59:08,27.33,65.19,4088
00:59:39,27.32,65.18,4088
01:00:10,27.32,65.19,4088
01:00:41,27.33,65.20,4088
01:01:12,27.33,65.01,4088
01:01:43,27.38,64.84,4081
01:02:14,27.37,64.74,4084
01:02:45,27.37,64.79,4088
01:03:16,27.35,64.72,4081
01:03:47,27.36,64.70,4088
01:04:18,27.37,64.60,4085
01:04:49,27.34,64.57,4084
01:05:19,27.36,64.53,4077
01:05:50,27.36,64.46,4089
01:06:21,27.33,64.55,4084
01:06:52,27.32,64.45,4081
01:07:23,27.32,64.35,4085
01:07:54,27.29,64.11,4080
01:08:25,27.28,63.40,4088
01:08:56,27.25,61.97,4085
01:09:27,27.17,61.61,4085
01:09:58,27.10,63.09,4088
01:10:28,27.07,63.91,4089
01:10:59,27.09,64.77,4088
01:11:30,27.10,65.61,4089
01:12:01,27.11,66.47,4077
01:12:32,27.16,67.84,4088
01:13:03,27.21,68.34,4089
01:13:34,27.23,69.44,4084
01:14:05,27.28,70.06,4085
01:14:36,27.31,70.29,4085
01:15:07,27.37,70.64,4089
01:15:38,27.40,70.96,4089
01:16:09,27.44,71.11,4089
01:16:39,27.46,71.30,4084
01:17:10,27.48,71.34,4084
01:17:41,27.50,71.63,4073
01:18:12,27.52,71.78,4077
01:18:43,27.54,72.18,4089
01:19:14,27.53,72.27,4084
01:19:45,27.56,72.51,4084
01:20:16,27.57,73.14,4089
01:20:47,27.58,73.39,4088
01:21:18,27.60,73.60,4089
01:21:49,27.63,73.68,4089
01:22:19,27.66,73.85,4089
01:22:50,27.68,74.03,4084
01:23:21,27.70,74.08,4088
01:23:52,27.73,74.25,4085
01:24:23,27.74,74.41,4089
01:24:54,27.76,74.47,4084
01:25:25,27.77,74.46,4088
01:25:56,27.80,74.50,4089
01:26:26,27.80,74.40,4089
01:26:57,27.83,74.46,4085
01:27:28,27.84,74.49,4085
01:27:59,27.86,74.58,4089
01:28:30,27.89,74.74,4088
01:29:01,27.89,74.87,4088
01:29:32,27.91,74.82,4085
01:30:03,27.92,74.81,4088
01:30:34,27.93,74.81,4089
01:31:05,27.95,74.79,4088
01:31:35,27.96,75.05,4088
01:32:06,27.99,75.06,4088
01:32:37,27.99,75.19,4088
01:33:08,27.99,75.22,4089
01:33:39,28.02,75.34,4085
01:34:10,28.02,75.36,4089
01:34:41,28.02,75.44,4089
01:35:12,28.04,75.48,4085
01:35:43,28.04,75.47,4089
01:36:13,28.04,75.60,4089
01:36:44,28.05,75.58,4088
01:37:15,28.04,75.75,4088
01:37:46,28.07,75.83,4080
01:38:17,28.07,75.70,4080
01:38:48,28.08,75.78,4089
01:39:19,28.10,75.94,4081
01:39:50,28.11,76.08,4089
01:40:21,28.12,76.10,4088
01:40:51,28.11,76.28,4088
01:41:22,28.13,76.33,4088
01:41:53,28.13,76.18,4088
01:42:24,28.15,76.04,4085
01:42:55,28.14,76.13,4088
01:43:26,28.13,76.40,4088
01:43:57,28.16,76.37,4080
01:44:28,28.16,76.46,4084
01:44:59,28.18,76.29,4088
01:45:30,28.20,76.30,4088
01:46:00,28.22,76.29,4088
01:46:31,28.21,76.37,4081
01:47:02,28.23,76.33,4088
01:47:33,28.25,76.39,4088
01:48:04,28.23,76.37,4085
01:48:35,28.27,76.35,4085
01:49:06,28.29,76.42,4088
01:49:37,28.29,76.52,4088
01:50:08,28.29,76.58,4085
