time,temperature,humidity,vbat_mV
22:39:41,28.48,75.95,4135
22:44:18,28.51,76.01,3936
22:44:49,28.52,76.20,4315
22:45:19,28.52,75.88,4044
22:45:50,28.54,75.94,3808
22:46:20,28.53,75.89,3733
22:46:51,28.54,76.02,4060
22:47:22,28.52,76.19,3885
22:47:52,28.52,75.87,4220
22:48:23,28.53,76.01,3817
22:48:54,28.54,75.91,3749
22:49:24,28.51,75.87,4020
22:49:55,28.52,75.89,4199
22:50:26,28.51,75.82,4199
22:50:56,28.52,75.84,4180
22:51:27,28.51,75.79,3904
22:51:57,28.52,75.86,3852
22:52:28,28.51,75.82,3821
22:52:59,28.51,75.79,4227
22:53:29,28.51,75.81,3438
22:54:00,28.50,75.78,4195
22:54:31,28.51,75.79,3450
22:55:01,28.49,75.81,3418
22:55:32,28.49,75.82,4195
22:56:03,28.49,75.81,4180
22:56:33,28.50,75.83,3697
22:57:04,28.48,75.81,4219
22:57:35,28.51,75.82,4372
22:58:05,28.49,75.80,3709
22:58:36,28.49,75.78,4200
22:59:07,28.49,75.79,4231
22:59:37,28.49,75.81,4239
23:00:08,28.49,75.75,4244
23:00:39,28.49,76.12,4263
23:01:09,28.50,76.27,3522
23:01:40,28.51,76.22,4263
23:02:11,28.49,75.91,3697
23:02:41,28.51,76.09,3777
23:03:12,28.52,76.03,4327
23:03:43,28.51,75.96,3686
23:04:13,28.51,76.02,3670
23:04:44,28.54,75.94,4180
23:05:15,28.52,76.04,4359
23:05:45,28.55,76.32,4196
23:06:16,28.54,76.17,3716
23:06:47,28.55,76.06,3713
23:07:17,28.52,76.54,4207
23:07:48,28.55,76.54,4188
23:08:19,28.57,76.55,4228
23:08:49,28.56,76.25,3542
23:09:20,28.57,76.10,3616
23:09:51,28.57,76.15,4191
23:10:21,28.57,76.23,4236
23:10:52,28.58,76.33,4200
23:11:23,28.57,76.33,4199
23:11:54,28.57,76.19,4315
23:12:24,28.58,76.48,4192
23:12:55,28.59,76.46,4204
23:13:26,28.58,76.43,4203
23:13:56,28.58,76.19,3753
23:14:27,28.59,76.20,3865
23:14:58,28.58,76.06,4212
23:15:28,28.58,76.12,3657
23:15:59,28.62,76.28,3393
23:16:30,28.61,76.20,4220
23:17:00,28.59,76.18,4239
23:17:31,28.63,76.26,3541
23:18:02,28.61,76.18,4215
23:18:32,28.61,76.12,3613
23:19:03,28.63,76.21,3693
23:19:34,28.64,76.17,4212
23:20:04,28.62,75.98,3705
23:20:42,28.65,76.60,4116
23:21:13,28.65,76.78,4112
23:25:24,28.72,76.17,4124
23:25:53,28.71,76.35,4116
23:35:54,28.44,78.77,4116
23:45:54,28.10,81.46,4116
23:55:55,27.62,73.35,4116
