time,temperature,humidity,vbat_mV
00:05:33,26.71,63.89,3283
00:13:04,26.68,64.00,3303
00:20:34,26.69,63.63,3295
00:28:05,26.37,60.78,3297
00:35:34,26.47,63.34,3290
00:43:05,26.55,63.30,3289
00:50:36,26.45,63.27,3297
00:58:06,26.43,63.26,3303
01:05:36,26.17,62.49,3303
01:13:07,26.25,62.99,3297
01:20:37,26.76,68.32,3288
01:28:08,27.03,71.16,3283
01:35:38,27.25,73.38,3302
01:43:09,27.42,75.01,3296
01:50:39,27.58,75.87,3302
01:58:10,27.75,75.98,3290
02:05:41,27.62,74.25,3289
02:13:11,27.24,70.78,3297
02:20:42,26.98,68.80,3289
02:28:13,26.82,67.15,3290
02:35:43,26.37,64.71,3295
02:43:14,26.42,65.08,3282
02:50:44,26.35,64.99,3295
02:58:15,26.25,64.78,3290
03:05:46,25.97,61.41,3290
03:13:16,26.49,68.95,3297
03:20:47,26.84,72.13,3282
03:28:17,27.06,73.97,3302
03:35:48,27.22,75.69,3303
03:43:19,27.36,76.72,3289
03:50:49,27.49,76.74,3288
03:58:19,27.58,77.17,3290
04:05:50,27.71,77.08,3295
04:13:20,27.83,77.08,3302
04:20:51,27.88,76.84,3302
04:28:21,27.93,76.99,3290
04:35:52,27.99,77.20,3297
04:43:22,28.01,77.04,3296
04:50:53,28.07,77.10,3289
04:58:23,28.10,77.33,3289
05:05:54,28.12,77.06,3296
05:13:25,28.16,77.23,3289
05:20:55,28.21,77.08,3296
05:28:27,28.23,77.03,3309
05:35:58,28.26,76.92,3290
05:43:28,28.26,76.93,3290
05:50:59,28.30,76.93,3303
05:58:30,28.32,77.17,3283
06:06:01,28.32,77.29,3283
06:13:31,28.34,77.47,3297
06:21:02,28.37,77.52,3315
06:28:33,28.40,77.37,3289
06:36:04,28.40,77.53,3295
06:43:35,28.42,77.59,3302
06:51:06,28.45,77.57,3283
06:58:36,28.46,77.22,3302
07:06:06,28.50,77.33,3288
07:13:36,28.50,77.63,3289
07:21:07,28.52,77.49,3282
07:28:38,28.57,77.59,3304
07:36:08,28.59,77.93,3284
07:43:39,28.62,78.04,3289
07:51:09,28.63,78.12,3296
07:58:40,28.67,78.13,3294
08:06:11,28.75,77.94,3290
08:13:41,28.82,77.56,3309
08:21:11,28.84,77.24,3295
08:28:42,28.88,77.84,3277
08:36:13,28.95,77.47,3302
08:43:41,28.97,76.60,3303
