time,temperature,humidity
13:25:42,23.70,55.20
13:25:42,23.80,55.10
13:25:42,23.50,55.00
13:25:42,23.70,55.20
13:25:42,23.80,55.10
13:25:42,23.50,55.00
13:25:42,23.50,55.00
13:25:42,23.50,55.00
13:25:42,23.50,55.00
13:25:42,23.50,55.01
13:25:42,23.51,55.01
13:25:42,23.51,55.01
13:25:42,23.51,55.01
13:25:42,23.70,55.20
13:25:42,23.80,55.10
13:25:42,23.50,55.00
13:25:42,23.50,55.00
13:25:42,23.50,55.00
13:25:42,23.50,55.00
13:25:42,23.50,55.01
13:25:42,23.51,55.01
15:25:42,23.70,55.20
15:25:42,23.80,55.10
15:25:42,23.70,55.20
15:25:42,23.80,55.10
15:25:42,23.50,55.00
15:25:42,23.50,55.00
15:25:42,23.50,55.00
15:25:42,23.50,55.00
15:25:42,23.50,55.01
15:25:42,23.51,55.01
15:25:42,23.51,55.01
15:25:42,23.51,55.01
22:35:54,29.93,77.21
22:36:05,29.95,77.21
22:37:06,29.95,77.21
23:47:28,28.35,57.04
23:47:42,28.32,56.78
23:48:49,28.26,56.81
23:49:50,28.23,56.28
23:50:50,28.23,56.36
23:51:51,28.23,56.23
23:52:51,28.04,56.04
23:53:52,28.01,55.68
23:54:52,27.92,56.32
23:55:53,27.97,57.11
23:56:53,28.03,57.69
23:57:54,28.03,58.16
23:58:54,28.02,58.67
23:59:55,27.93,59.30
