Timestamp(ms),Current(uA),D0-D7
60.18,3.051,10000000
60.19,3.095,10000000
60.2,2.964,10000000
60.21,3.007,10000000
60.22,2.92,10000000
60.23,3.051,10000000
60.24,3.007,10000000
60.25,3.139,10000000
60.26,3.139,10000000
60.27,3.051,10000000
60.28,3.139,10000000
60.29,3.007,10000000
60.3,3.095,10000000
60.31,2.92,10000000
60.32,3.095,10000000
60.33,3.183,10000000
60.34,3.095,10000000
60.35,3.095,10000000
60.36,3.095,10000000
60.37,3.095,10000000
60.38,3.051,10000000
60.39,3.183,10000000
60.4,2.92,10000000
60.41,3.051,10000000
60.42,3.227,10000000
60.43,3.183,10000000
60.44,3.227,10000000
60.45,3.183,10000000
60.46,3.007,10000000
60.47,3.139,10000000
60.48,2.964,10000000
60.49,2.964,10000000
60.5,3.051,10000000
60.51,3.095,10000000
60.52,3.007,10000000
60.53,3.139,10000000
60.54,3.007,10000000
60.55,3.051,10000000
60.56,3.007,10000000
60.57,3.051,10000000
60.58,2.876,10000000
60.59,3.139,10000000
60.6,2.964,10000000
60.61,3.183,10000000
60.62,3.139,10000000
60.63,3.051,10000000
60.64,3.051,10000000
60.65,3.051,10000000
60.66,3.139,10000000
60.67,2.964,10000000
60.68,3.007,10000000
60.69,2.964,10000000
60.7,2.92,10000000
60.71,3.051,10000000
60.72,2.964,10000000
60.73,3.007,10000000
60.74,3.051,10000000
60.75,3.007,10000000
60.76,3.007,10000000
60.77,3.007,10000000
60.78,3.007,10000000
60.79,3.007,10000000
60.8,2.92,10000000
60.81,3.051,10000000
60.82,3.139,10000000
60.83,3.139,10000000
60.84,3.183,10000000
60.85,3.227,10000000
60.86,3.051,10000000
60.87,3.051,10000000
60.88,3.051,10000000
60.89,3.007,10000000
60.9,3.007,10000000
60.91,2.92,10000000
60.92,2.92,10000000
60.93,3.007,10000000
60.94,3.139,10000000
60.95,3.007,10000000
60.96,3.051,10000000
60.97,3.051,10000000
60.98,2.964,10000000
60.99,2.92,10000000
61,2.964,10000000
61.01,3.051,10000000
61.02,2.92,10000000
61.03,2.876,10000000
61.04,3.007,10000000
61.05,3.007,10000000
61.06,3.095,10000000
61.07,3.007,10000000
61.08,2.964,10000000
61.09,2.92,10000000
61.1,3.007,10000000
61.11,3.139,10000000
61.12,3.139,10000000
61.13,2.832,10000000
61.14,3.095,10000000
61.15,3.007,10000000
61.16,3.095,10000000
61.17,3.051,10000000
61.18,3.183,10000000
61.19,3.139,10000000
61.2,3.051,10000000
61.21,3.095,10000000
61.22,3.051,10000000
61.23,3.095,10000000
61.24,3.095,10000000
61.25,3.139,10000000
61.26,3.007,10000000
61.27,2.964,10000000
61.28,3.095,10000000
61.29,3.051,10000000
61.3,3.007,10000000
61.31,3.051,10000000
61.32,2.92,10000000
61.33,2.92,10000000
61.34,3.007,10000000
61.35,3.007,10000000
61.36,3.095,10000000
61.37,2.964,10000000
61.38,2.92,10000000
61.39,3.139,10000000
61.4,2.964,10000000
61.41,3.095,10000000
61.42,3.183,10000000
61.43,3.095,10000000
61.44,3.051,10000000
61.45,3.051,10000000
61.46,3.007,10000000
61.47,3.051,10000000
61.48,3.139,10000000
61.49,3.095,10000000
61.5,3.051,10000000
61.51,3.183,10000000
61.52,2.92,10000000
61.53,2.964,10000000
61.54,3.227,10000000
61.55,3.095,10000000
61.56,3.051,10000000
61.57,2.876,10000000
61.58,3.007,10000000
61.59,3.183,10000000
61.6,2.964,10000000
61.61,3.007,10000000
61.62,3.183,10000000
61.63,3.051,10000000
61.64,2.876,10000000
61.65,2.964,10000000
61.66,2.788,10000000
61.67,3.051,10000000
61.68,3.007,10000000
61.69,3.095,10000000
61.7,3.183,10000000
61.71,3.095,10000000
